[3.062s][info][gc,heap      ] GC(11) Survivor regions: 13->13(13)
[3.062s][info][gc,heap      ] GC(11) Old regions: 346->425
[3.062s][info][gc,heap      ] GC(11) Archive regions: 0->0
[3.062s][info][gc,heap      ] GC(11) Humongous regions: 0->0
[3.062s][info][gc,metaspace ] GC(11) Metaspace: 203K->203K(1056768K)
[3.062s][info][gc           ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 449M->438M(2095M) 279.644ms
[3.062s][info][gc,cpu       ] GC(11) User=2.05s Sys=0.03s Real=0.28s
[3.323s][info][gc,start     ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[3.323s][info][gc,task      ] GC(12) Using 8 workers of 8 for evacuation
[3.622s][info][gc,mmu       ] GC(12) MMU target violated: 201.0ms (200.0ms/201.0ms)
[3.622s][info][gc,phases    ] GC(12)   Pre Evacuate Collection Set: 0.1ms
[3.622s][info][gc,phases    ] GC(12)   Evacuate Collection Set: 272.1ms
[3.622s][info][gc,phases    ] GC(12)   Post Evacuate Collection Set: 26.1ms
[3.622s][info][gc,phases    ] GC(12)   Other: 0.4ms
[3.622s][info][gc,heap      ] GC(12) Eden regions: 91->0(131)
[3.622s][info][gc,heap      ] GC(12) Survivor regions: 13->13(13)
[3.622s][info][gc,heap      ] GC(12) Old regions: 425->505
[3.622s][info][gc,heap      ] GC(12) Archive regions: 0->0
[3.622s][info][gc,heap      ] GC(12) Humongous regions: 0->0
[3.622s][info][gc,metaspace ] GC(12) Metaspace: 203K->203K(1056768K)
[3.622s][info][gc           ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 529M->517M(2891M) 298.785ms
[3.622s][info][gc,cpu       ] GC(12) User=1.84s Sys=0.06s Real=0.30s
[4.036s][info][gc,start     ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[4.036s][info][gc,task      ] GC(13) Using 8 workers of 8 for evacuation
[4.444s][info][gc,mmu       ] GC(13) MMU target violated: 201.0ms (200.0ms/201.0ms)
[4.444s][info][gc,phases    ] GC(13)   Pre Evacuate Collection Set: 0.1ms
[4.444s][info][gc,phases    ] GC(13)   Evacuate Collection Set: 393.2ms
[4.444s][info][gc,phases    ] GC(13)   Post Evacuate Collection Set: 14.7ms
[4.444s][info][gc,phases    ] GC(13)   Other: 0.5ms
[4.444s][info][gc,heap      ] GC(13) Eden regions: 131->0(126)
[4.444s][info][gc,heap      ] GC(13) Survivor regions: 13->18(18)
[4.444s][info][gc,heap      ] GC(13) Old regions: 505->619
[4.444s][info][gc,heap      ] GC(13) Archive regions: 0->0
[4.444s][info][gc,heap      ] GC(13) Humongous regions: 0->0
[4.444s][info][gc,metaspace ] GC(13) Metaspace: 203K->203K(1056768K)
[4.444s][info][gc           ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 648M->637M(2891M) 408.542ms
[4.444s][info][gc,cpu       ] GC(13) User=2.78s Sys=0.03s Real=0.41s
[4.795s][info][gc,start     ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[4.795s][info][gc,task      ] GC(14) Using 8 workers of 8 for evacuation
[5.188s][info][gc,mmu       ] GC(14) MMU target violated: 201.0ms (200.0ms/201.0ms)
[5.188s][info][gc,phases    ] GC(14)   Pre Evacuate Collection Set: 0.1ms
[5.188s][info][gc,phases    ] GC(14)   Evacuate Collection Set: 378.4ms
[5.188s][info][gc,phases    ] GC(14)   Post Evacuate Collection Set: 14.1ms
[5.188s][info][gc,phases    ] GC(14)   Other: 0.5ms
[5.188s][info][gc,heap      ] GC(14) Eden regions: 126->0(126)
[5.188s][info][gc,heap      ] GC(14) Survivor regions: 18->18(18)
[5.188s][info][gc,heap      ] GC(14) Old regions: 619->729
[5.188s][info][gc,heap      ] GC(14) Archive regions: 0->0
[5.188s][info][gc,heap      ] GC(14) Humongous regions: 0->0
[5.188s][info][gc,metaspace ] GC(14) Metaspace: 203K->203K(1056768K)
[5.188s][info][gc           ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 763M->746M(2891M) 393.306ms
[5.188s][info][gc,cpu       ] GC(14) User=2.70s Sys=0.06s Real=0.39s
[5.625s][info][gc,start     ] GC(15) Pause Young (Normal) (G1 Evacuation Pause)
